conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q12702223,SPIES,Concept in human resources development,Q1056396,human resource management
Q12709275,Sigai,Malay terminus of mathematics,Q395,mathematics
Q12713350,allotroph,Lakes that absorb most of their organic material from the outside,Q165838,limnology
Q12713463,Anorogen,geological term,Q1069,geology
Q12714481,Elkraft,Norwegian term in electrical engineering,Q43035,electrical engineering
Q131295194,policing,concept in social sciences denoting the action of systematically controlling someone,Q131295143,critical policing studies
Q131308721,cultural acquisition,"the process of learning and internalizing a culture's values, beliefs, norms, and behaviors",Q23404,anthropology
Q131308721,cultural acquisition,"the process of learning and internalizing a culture's values, beliefs, norms, and behaviors",Q21201,sociology
Q131339872,auditory ecology,"auditory environments in which humans live and function, the tasks to be undertaken by humans in these complex acoustic environments, and the importance of these tasks in daily life and daily routines",Q103884376,hearing science
Q131339872,auditory ecology,"auditory environments in which humans live and function, the tasks to be undertaken by humans in these complex acoustic environments, and the importance of these tasks in daily life and daily routines",Q82811,acoustics
Q131345041,nokiuchi,space under the eaves,Q831154,architectural analytics
Q131345041,nokiuchi,space under the eaves,Q11639732,landscape architectural studies
Q131345396,perinatal mental health,"mental health conditions during pregnancy and up to two years postpartum, impacting mothers' well-being and infants' development",Q9418,psychology
Q131345396,perinatal mental health,"mental health conditions during pregnancy and up to two years postpartum, impacting mothers' well-being and infants' development",Q7867,psychiatry
Q131345497,pandemic and epidemic-prone diseases,diseases with high potential to cause widespread outbreaks globally or regionally,Q189603,public health
Q131367986,firecracker graph,type of graph,Q131476,graph theory
Q131378262,International Classification of Vestibular Disorders,"evidence-based classification system for vestibular disorders standardizes the definitions of syndromes, diseases, diagnostic procedures, and treatments in neurotology",Q103884376,hearing science
Q131378262,International Classification of Vestibular Disorders,"evidence-based classification system for vestibular disorders standardizes the definitions of syndromes, diseases, diagnostic procedures, and treatments in neurotology",Q189553,otolaryngology
Q131394301,Amorphization,Technical process of making something structurally amorphous or becoming structurally amorphous by introducing atomic disorder into a crystal lattice.,Q228736,materials science
Q131401260,kudokuchi,pond said to be in the Pure Land in Buddhist terms,Q1000976,Buddhist studies
Q131419729,Non-entrepreneurial Non-commercial Legal Entity,"legal form for organizations whose primary goal is not profit generation, often used by NGOs, charities, and educational institutions",Q975065,nonprofit management
Q131422683,Whitney's inequality on connectivity,theorem in graph theory,Q131476,graph theory
Q131438743,vicinism,botanical term,Q1138244,phytosociology
Q131472321,pre-collision,phase preceding the collision of tectonic plates,Q1069,geology
Q131581772,zenology,branch of astronomy which studies Jupiter,Q104499,planetary science
Q131626666,kronology,branch of astronomy which studies Saturnus,Q104499,planetary science
Q131626710,uranology,branch of astronomy which studies Saturnus,Q104499,planetary science
Q131626776,poseidology,branch of astronomy which studies Neptunus,Q104499,planetary science
Q131626874,cytherology,branch of astronomy which studies the planet Venus in all of its aspects,Q104499,planetary science
Q131627098,cytherologist,scientist practicing cytherology,Q131626874,cytherology
Q131627345,hermeology,branch of astronomy which studies Jupiter,Q104499,planetary science
Q131627505,hadeology,branch of astronomy which studies Pluto,Q104499,planetary science
Q256,Turkish,Oghuz Turkic language of the Turkish people,Q8427,Turkology
Q405,Moon,Earth's only natural satellite,Q126181255,selenology
Q324,Uranus,seventh planet in the Solar System from the Sun,Q131626710,uranology
Q332,Neptune,eighth and farthest planet from the Sun in the Solar System,Q131626776,poseidology
Q318,galaxy,large gravitationally bound system of stars and interstellar matter,Q1995140,galaxy formation and evolution
Q318,galaxy,large gravitationally bound system of stars and interstellar matter,Q333,astronomy
Q39530266,Metagrid,Swiss online biographical authority files hub,Q54837,Semantic Web
Q39873541,Regulation of enzymes by covalent modification including hydrolysis of peptide bonds,scientific article published on January 1973,Q420,biology
Q41700612,Tardos function,in graph theory,Q131476,graph theory
Q41807229,BioAssay Ontology,ontology to annotate experiments in the field of the life sciences,Q54837,Semantic Web
Q41854968,hydrophobicity,physical property of a molecule that is seemingly repelled from a mass of water,Q228736,materials science
Q42106019,Erez Y. Levanon,Israeli biologist,Q222046,genomics
Q42109240,stoff,"abstract story expressed in multiple variant form (e.g. Cinderella, Tristan and Isolde, Romeo and Julia)",Q382451,narratology
Q42109240,stoff,"abstract story expressed in multiple variant form (e.g. Cinderella, Tristan and Isolde, Romeo and Julia)",Q132116,folkloristics
Q42184554,Dream of the Red Chamber universe,fictional universe,Q7306175,redology
Q42337841,Bénard cell,"cellular structure, regular pattern of convection cells of Rayleigh–Bénard convection",Q11473,thermodynamics
Q116653895,forest productivity,Measure of the annual or maximum cumulative growth of a forest stand,Q19924411,forestry science
Q116680817,question generation by students,activity in which students ask questions about what they are studying,Q7922,pedagogy
Q116680847,automated question generation,producing large datasets of natural-language questions by automated processes,Q1513879,natural language generation
Q116680847,automated question generation,producing large datasets of natural-language questions by automated processes,Q30642,natural language processing
Q116754571,collection development,"building a coherent collection of books, artworks, archival materials or the like by careful selection of materials",Q199655,library science
Q116757387,Maintenance 4.0,use of modern technologies to improve maintenance processes in industrial environments,Q1661989,Industry 4.0
Q116795888,Teotihuacan civilization,Mesoamerican former civilization,Q435608,ancient history
Q116840494,www,"URL prefix, prepended to website domain name",Q466,World Wide Web
Q116953130,hymn text,text for a hymn that is intended for singing,Q1640693,hymnology
Q116975391,forest crime,environmental crime involving a forest,Q36442,political science
Q116975391,forest crime,environmental crime involving a forest,Q21201,sociology
Q116975391,forest crime,environmental crime involving a forest,Q188847,environmental science
Q116975391,forest crime,environmental crime involving a forest,Q8134,economics
Q116975391,forest crime,environmental crime involving a forest,Q161733,criminology
Q116975391,forest crime,environmental crime involving a forest,Q38112,forestry
Q116986287,Janavis finalidens,extinct species of ornithurine avialan within the clade Ichthyornithes,Q455928,paleornithology
Q117022198,Finnish Ontology for Judicial Administration,subject ontology,Q54837,Semantic Web
Q117044295,probability of establishment,ecological variable,Q42985020,invasion biology
Q117044295,probability of establishment,ecological variable,Q7150,ecology
Q117052930,thermophilization,biological process,Q7150,ecology
Q117078933,Economy-of-effort theory,idea in anthropology,Q23404,anthropology
Q117156772,Strength theory,idea in anthropology,Q23404,anthropology
Q117212894,ecological significance,importance in an ecological context,Q7150,ecology
Q117213076,experimental invasion,methodology,Q42985020,invasion biology
Q117215007,Direct development,idea in biology,Q420,biology
Q117218032,habitat quality,ecological concept,Q7150,ecology
Q117218261,fish welfare,well-being of fish,Q10861331,zoopsychology
Q117235451,climatic variability hypothesis,hypothesis in ecology,Q7150,ecology
Q117247625,ageing workforce,subconcept of employment forecasting,Q37732,demography
Q117287471,erroneous provenance (artwork),erroneous chronology of ownership,Q1678416,provenance research
Q117287471,erroneous provenance (artwork),erroneous chronology of ownership,Q161733,criminology
Q117287471,erroneous provenance (artwork),erroneous chronology of ownership,Q50637,art history
Q117309724,Closed populations (human),usually small populations of people who are more closed and detached from other people,Q11190,medicine
Q117309724,Closed populations (human),usually small populations of people who are more closed and detached from other people,Q7162,genetics
Q117321249,Detecting and patching network vulnerabilities,US patent 11522897,Q17233037,cybersecurity
Q117351762,Margret Adebisi,environmental archaeologist,Q23498,archaeology
Q117354032,Implementation of Industry 4.0,"Implementation or execution of the plans, roadmaps, procedures and others to an entity reach the change or transition of its current state to a situation of Industry 4.0´s entity",Q1661989,Industry 4.0
Q117356127,driver of Industry 4.0,"The four main drivers of Industry 4.0 are Internet of Things(IoT), Industrial Internet of Things (IIoT), Cloud based manufacturing and smart manufacturing which helps intransforming the manufacturing process into fully digitized and intelligent one",Q1661989,Industry 4.0
Q117360399,epiphyte diversity,biodiversity within epiphytes,Q111325032,biodiversity science
Q117360399,epiphyte diversity,biodiversity within epiphytes,Q441,botany
Q117383654,invasion risk analysis,type of study,Q42985020,invasion biology
Q117384015,microhabitat preference,preference for specific environmental conditions,Q7150,ecology
Q117386364,ocean ecosystem,"type of ecosystem that includes marine life in the world's oceans, as well as other bodies of water",Q43518,oceanography
Q117424688,Climate Information Service,dissemination of climate data,Q25261,meteorology
Q117576117,habitat specificity,ecological concept,Q7150,ecology
Q117679663,Mantel's theorem,theorem in graph theory,Q131476,graph theory
Q117805851,range overlap,overlap between the spaces inhabited by different biological entities,Q7150,ecology
Q117817730,phytomanagement,concept in environmental sciences,Q2428433,restoration ecology
Q117817730,phytomanagement,concept in environmental sciences,Q1412144,ecotoxicology
Q117823202,regional climate model,type of climate model,Q52139,climatology
Q117833342,technical reference model,controlled vocabulary as part of enterprise architecture,Q1048431,enterprise architecture
Q117846140,climate variable,measurable quantity that affects climate,Q52139,climatology
Q118106220,range boundary,concept in ecology,Q7150,ecology
Q118114823,educational demand,consumer demand for education,Q861689,education economics
Q118125519,trophic link,concept in ecology,Q7150,ecology
Q118151744,school enrollment projection,forecast of student enrollment,Q861499,educational planning
Q118152682,gender theory,theory about gender identity and gendered representation,Q1662673,gender studies
Q118177118,farm size,size of an individual farm,Q6484062,land economy
Q118177541,invasive pest species,pine species spreading outside its native habitat and causing damage to humans or to human-controlled entities,Q42985020,invasion biology
Q118279300,language behavior,use of language by an individual under various circumstances,Q160845,sociolinguistics
Q118359760,deviant behavior,behavior that deviates from established social norms or expectations,Q3919817,behavioral sciences
Q118369092,The Practice of the People of Kufah,a minor Principle of Islamic jurisprudence,Q2321196,Usul al-fiqh
Q118372171,Tutte conjecture counterexample,"3-connected nonhamiltonian bicubic graph, the existence of which disproves the Tutte conjecture",Q131476,graph theory
Q118405904,history of the Basque Country,history of the autonomous community of the Basque Country in Spain,Q7781,history of Spain
Q118471093,biological concept,concept that captures some aspect of life,Q420,biology
Q118500400,language acquisition,process through which a person acquires a (new) language,Q160845,sociolinguistics
Q118527409,odd cycle,cycle graph of odd length,Q131476,graph theory
Q114451695,statistical associating fluid theory,molecular theory of fluid formation,Q11473,thermodynamics
Q114602975,climate modeling,activity,Q114602980,climate modeling
Q114728138,complex analysis in several variables,the study of functions that depend differentiably on several complex variables,Q7754,mathematical analysis
Q114739772,analysis in one variable,mathematical theory,Q7754,mathematical analysis
Q114757306,rapid-onset gender dysphoria,hypothesis that adolescents identify as transgender due to peer influence and social contagion,Q1662673,gender studies
Q114757306,rapid-onset gender dysphoria,hypothesis that adolescents identify as transgender due to peer influence and social contagion,Q17014367,transgender studies
Q114840245,co-invasion,biotic invasions correlated in both space and time but involving different species,Q42985020,invasion biology
Q114840256,co-invasion hypothesis,hypothesis in ecology,Q7150,ecology
Q114853547,soil sample from Iron Age grave,"sample collected from an urn burial in pit at Gärstad burial site, Linköping municipality, Östergötland",Q460162,museology
Q114853547,soil sample from Iron Age grave,"sample collected from an urn burial in pit at Gärstad burial site, Linköping municipality, Östergötland",Q23498,archaeology
Q114855648,similarity retrieval,technique used in information retrieval and multimedia retrieval where data objects sharing certain commonality are matched with a query,Q816826,information retrieval
Q115089507,word of honour,"an honor-based promise, oath, or pledge of faith",Q9465,ethics
Q115127448,stress gradient hypothesis,hypothesis in ecology,Q7150,ecology
Q115139482,Kerr potential,thermodynamic potential,Q11473,thermodynamics
Q115157704,pediatric oncology,branch of medicine concerned with the diagnosis and treatment of cancer in children,Q123028,pediatrics
Q115160926,agricultural research,"research designed to improve crops, increase yields, develop resistances to diseases",Q3606845,agricultural science
Q115161680,topographic cartography,subdiscipline of cartography related to topography,Q134435,topography
Q115193765,dengbêj,singer of dengbêjî music (kurdish),Q208365,ethnomusicology
Q115215420,machine learning model,"algorithm or set of algorithms that learns from data to make predictions, classify, or recognize patterns without being explicitly programmed to perform the specific task",Q2539,machine learning
Q115218237,sugar-loaf mould OM.C.004723.0041,"Fragment of ceramic mould from the sugar refinery Planeten in Norrköping, Sweden",Q460162,museology
Q115218237,sugar-loaf mould OM.C.004723.0041,"Fragment of ceramic mould from the sugar refinery Planeten in Norrköping, Sweden",Q23498,archaeology
Q115254837,peatland restoration,actions to reinstate peatland health,Q2428433,restoration ecology
Q115270629,"Cognitive Science in Education Program, Teachers College","academic program at Teachers College, Columbia University",Q147638,cognitive science
Q115322263,island susceptibility hypothesis,hypothesis in ecology,Q42985020,invasion biology
Q115322263,island susceptibility hypothesis,hypothesis in ecology,Q7150,ecology
Q115322315,invasional meltdown hypothesis,hypothesis in invasion biology,Q42985020,invasion biology
Q115411428,trunk OM.A.031144,trunk used by a Swedish missionary,Q460162,museology
Q115411956,bricks OM.C.004725.0009,bricks from Louis de Geer house in Norrköping,Q460162,museology
Q115411956,bricks OM.C.004725.0009,bricks from Louis de Geer house in Norrköping,Q23498,archaeology
Q115430603,psychological game,type of conscious or non-conscious game,Q9418,psychology
Q115430603,psychological game,type of conscious or non-conscious game,Q183257,psychotherapy
Q115431318,wild thinking,way of thinking that creates a basis for violence,Q9174,religion
Q115449506,public website,website accessible to the public and thus part of the World Wide Web,Q466,World Wide Web
Q115467851,Internet of everything,"computing concept for the connection between people, machines, processes and data",Q21198,computer science
Q115471543,economic prosperity,state distinguished by economic growth,Q8134,economics
Q115484611,music,sound that is considered musical,Q164204,musicology
Q115489680,introduction event,event through which a species is introduced to a new environment,Q42985020,invasion biology
Q115489680,introduction event,event through which a species is introduced to a new environment,Q7150,ecology
Q115489741,bridgehead effect,concept in ecology and invasion biology,Q42985020,invasion biology
Q115489741,bridgehead effect,concept in ecology and invasion biology,Q7150,ecology
Q115528491,sleeping beauty effect,term first used in a bibliometric context by Professor Anthony F.J. van Raan in 2004,Q603441,bibliometrics
Q115532199,range shift,ecological concept,Q42985020,invasion biology
Q115532199,range shift,ecological concept,Q7150,ecology
Q115557738,ocean wave spectrum,distribution of ocean wave energy at different frequencies,Q43518,oceanography
Q115572505,taphonomic window,concept in paleontology,Q7205,paleontology
Q115596027,coastal invasion,biotic invasion in a coastal area,Q104200509,coastal ecology
Q115596027,coastal invasion,biotic invasion in a coastal area,Q42985020,invasion biology
Q111952414,parasite pressure,ecological variable,Q7150,ecology
Q111954238,eddy pumping,ocean dynamics,Q1337681,physical oceanography
Q111958041,habitat model,theoretical approach to studying habitats,Q7150,ecology
Q111959167,relative brain size,physical quantity,Q2904159,comparative biology
Q111959167,relative brain size,physical quantity,Q207011,neuroscience
Q111959362,source habitat,habitat from which an organism or species originated,Q42985020,invasion biology
Q111968621,metamorphic petrology,study of metamorphic rocks,Q112971034,Igneous and metamorphic petrology
Q111970261,enemy pressure,ecological variable,Q7150,ecology
Q111972243,scientific claim,statement,Q336,science
Q111974522,Considere criterion,necking criterium by Armand Considère,Q228736,materials science
Q111975733,screw dislocation,type of dislocation,Q228736,materials science
Q111975733,screw dislocation,type of dislocation,Q160398,crystallography
Q111975743,substitutional defect,type of point defect in a crystal,Q228736,materials science
Q111975743,substitutional defect,type of point defect in a crystal,Q160398,crystallography
Q111975766,supersaturated solid solution,"solid solution, where the concentration of a solute exceeds the concentration specified by the value equilibrium solubility",Q228736,materials science
Q111975766,supersaturated solid solution,"solid solution, where the concentration of a solute exceeds the concentration specified by the value equilibrium solubility",Q2329,chemistry
Q111975917,gauge length,part of a test specimen actually being measured for elongation during a tensile test,Q228736,materials science
Q111983416,Portuguese-language literature,literary works written in the Portuguese language,Q113128824,literature in Spanish and Portuguese
Q111993668,history of the Third Reich,occurrences and events in Germany (Third Reich) under the leadership of the National Socialists from 1933 to 1945,Q7787,history of Europe
Q112031785,Solar-terrestrial interactions,"interdisciplinary branch of science at the intersection of geophysics and astrophysics, studying the connections between physical processes occurring on the Sun and the Earth",Q14632398,physical sciences
Q112042646,ecological invasion risk,risk that an ecosystem is invaded by a non-native species,Q42985020,invasion biology
Q112042646,ecological invasion risk,risk that an ecosystem is invaded by a non-native species,Q7150,ecology
Q112049489,history of travel,movement leading to the discovery of newer distant geographical locations,Q911070,history of geography
Q112056784,establishment failure,concept in invasion biology,Q42985020,invasion biology
Q112056784,establishment failure,concept in invasion biology,Q7150,ecology
Q112056987,establishment success,concept in invasion biology,Q42985020,invasion biology
Q112056987,establishment success,concept in invasion biology,Q7150,ecology
Q112057547,intraguild predator,species that hunts ecological competitors,Q7150,ecology
Q112057575,intraguild competition,competition between species for ecological resources,Q7150,ecology
Q112057584,intraguild prey,species hunted by ecological competitors,Q7150,ecology
Q112057623,economic resource availability,economic concept,Q8134,economics
Q112057621,ecological resource availability,ecological concept,Q7150,ecology
Q112058488,invasion success prediction,subfield of invasion biology and mathematical bioloy,Q751611,mathematical biology
Q112058488,invasion success prediction,subfield of invasion biology and mathematical bioloy,Q42985020,invasion biology
Q112058784,ecological sorting,biological process,Q7150,ecology
Q112064080,pancake,"morphology of grains in the microstructure of a metal after certain deformations, for example rolling",Q228736,materials science
Q112064222,nodule (materials),spheroidal phases inside a microstructure,Q228736,materials science
Q112076360,native prey,prey native to an area affected by a biological invasion,Q42985020,invasion biology
Q112076360,native prey,prey native to an area affected by a biological invasion,Q7150,ecology
Q112076360,native prey,prey native to an area affected by a biological invasion,Q431,zoology
Q112076369,native predator,predator native to an area affected by a biological invasion,Q42985020,invasion biology
Q112076369,native predator,predator native to an area affected by a biological invasion,Q7150,ecology
Q112076369,native predator,predator native to an area affected by a biological invasion,Q431,zoology
Q112076375,non-native predator,predator not native to an area affected by a biological invasion,Q42985020,invasion biology
Q112076375,non-native predator,predator not native to an area affected by a biological invasion,Q7150,ecology
Q112076375,non-native predator,predator not native to an area affected by a biological invasion,Q431,zoology
Q112076385,non-native prey,prey not native to an area affected by a biological invasion,Q42985020,invasion biology
Q112076385,non-native prey,prey not native to an area affected by a biological invasion,Q7150,ecology
Q112076385,non-native prey,prey not native to an area affected by a biological invasion,Q431,zoology
Q112076540,insular carnivore,carnivore living in an insular habitat,Q1664460,insular biogeography
Q112076540,insular carnivore,carnivore living in an insular habitat,Q431,zoology
Q112076650,range contraction,ecological concept,Q2428433,restoration ecology
Q112076650,range contraction,ecological concept,Q7150,ecology
Q112111173,invasion facilitation,ecological concept,Q42985020,invasion biology
Q112116817,socio-ecological variable,measure with sociological and ecological aspects,Q2305217,socioecology
Q112118224,rhizotoxicity,ecotoxicological concept,Q700919,chemical ecology
Q112118224,rhizotoxicity,ecotoxicological concept,Q1412144,ecotoxicology
Q112118224,rhizotoxicity,ecotoxicological concept,Q441,botany
Q112136740,nature of education,proposed definitions of education,Q5341232,education theory
Q112148709,invasion impact,measure of the effects of a biological invasion,Q42985020,invasion biology
Q131718181,Bibliographic Audit,To obtain and control bibliographic data regarding all kinds of materials in a certain order in order to ensure access to information.,Q16387,information science
Q131742670,oncodiabetology,branch of medicine primarily concerned with the relationship between cancer and diabetes,Q162555,oncology
Q131751616,auditory squelch,"improved ability to listen with both ears, independent of changes in the target-to-masker ratio, enhances speech comprehension in noisy environments",Q103884376,hearing science
Q131751616,auditory squelch,"improved ability to listen with both ears, independent of changes in the target-to-masker ratio, enhances speech comprehension in noisy environments",Q82811,acoustics
Q131758607,closed stacks,book storage areas are not accessible to the public,Q199655,library science
Q131758785,holding record,"record contains the holdings information like location, items held, and notes",Q199655,library science
Q131782974,green biotechnology,a field of biotechnology that uses biological techniques to improve agriculture and the environment,Q7108,biotechnology
Q131799507,Spec-Savers Gaborone,optometry group in Botswana,Q618211,optometry
Q131803254,Ace Opticians,optometry clinic in Botswana,Q618211,optometry
Q131804301,Vision Health Optometrists,eye care center in Botswana,Q618211,optometry
Q131805902,Broad Vision Eye Clinic,eye care center in Botswana,Q31207,health care
Q131806608,J.B. Eyecare Serowe,eye care center in Botswana,Q618211,optometry
Q131822426,Optical Insight,eye care center in Botswana,Q618211,optometry
Q131822435,Phatsimo Eye Centre,eye care center in Botswana,Q618211,optometry
Q131823124,history of Yiddish literature,aspect of history,Q6497044,history of literature
Q131859791,Doctor of Political Science,doctoral degree in Finland,Q34749,social science
Q131896729,dominant-recessive inheritance,interaction of a dominant allele with a recessive allele resulting in complete expression or non-expression of a trait,Q7162,genetics
Q132130873,New Approach Methodology,method in toxicology,Q189447,risk management
Q132151556,"Kindergarten, Painting Plays and Home Entertainment",a book of amusement and instruction for boys and girls,Q131539,children's literature
Q132153619,Nursing Service,"Nursing service is a professional healthcare service provided by licensed nurses, including patient care, clinical monitoring, rehabilitation, and health education. It is offered in hospitals, clinics, community healthcare, and private settings.",Q121176,nursing
Q132174927,Adults Only,hotel or resort concept which defines its target market. Minimum age is usually either 16 or 18,Q39809,marketing
Q132186465,animal physics,study of physics that shows how animals move and interact with the physical world,Q10861331,zoopsychology
Q132186465,animal physics,study of physics that shows how animals move and interact with the physical world,Q431,zoology
Q132197232,Galician medieval literature,literary works written in Galician in the Middle Ages,Q963619,medieval literature
Q132368178,agronomy and horticulture,combined fields of agriculture for the management of gardens and commercial cultivation of plants,Q441,botany
Q132368251,agronomy and soil science,"combined fields of agriculture for management of soil, crops and their improvement of agricultural productivity and sustainability",Q3606845,agricultural science
Q132444436,Christian Chuch,ecclesiological term,Q223693,ecclesiology
Q132532060,urban rail transit engineering,engineering of rail systems and local passenger trains in urban areas,Q775325,transportation engineering
Q132532060,urban rail transit engineering,engineering of rail systems and local passenger trains in urban areas,Q4260703,railway engineering
Q132533549,exo-astronomy,study of extrasolar planets outside our solar system,Q333,astronomy
Q132541314,developmental engineering,"interdisciplinary field that integrates engineering with economics and business, energy and natural resource development",Q11023,engineering
Q132736380,selachimorphology,scientific study of sharks,Q43518,oceanography
Q132736408,anthropology of peace,branch of anthropology around peace movements in human societies,Q15820293,peace and conflict studies
Q132736408,anthropology of peace,branch of anthropology around peace movements in human societies,Q34749,social science
Q132772952,Emirati studies,academic field of cultural studies of the United Arab Emirates,Q12211529,Middle Eastern studies
Q132772952,Emirati studies,academic field of cultural studies of the United Arab Emirates,Q3621186,Arabic studies
Q132776155,Islamic aesthetics,"nature of art, beauty, and taste in Islam",Q35986,aesthetics
Q132795470,Islamic administration,administrations that perform tasks of the state within Islam,Q843909,Islamic studies
Q735,art,field of work that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work),Q62302889,art practice
Q735,art,field of work that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work),Q55336315,art
Q735,art,field of work that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work),Q80083,humanities
Q735,art,field of work that creates expressive work for its beauty or emotional power (use Q838948 for the resulting work),Q50637,art history
Q12765874,finality,Alignment with the goal and the adjustment of means to achieve it,Q5891,philosophy
Q12766299,Genesis,"Origin, the creation, the process of creation",Q34178,theology
Q12766299,Genesis,"Origin, the creation, the process of creation",Q5891,philosophy
Q12767614,Ireality,opposite of reality.,Q5891,philosophy
Q12767644,Istý,Slovakian philosophical term,Q5891,philosophy
Q12768807,Kalorikum,(hypothetical) liquid consisting of mutually repelling particles that bind to molecules of ordinary substances,Q11473,thermodynamics
Q12769950,Questia,philosophical term,Q208217,literary studies
Q12769950,Questia,philosophical term,Q5891,philosophy
Q12769959,Kvetina,Slovak term,Q441,botany
Q12771318,Medzi,Slovak term of philosophy,Q5891,philosophy
Q12772521,Nie-ja,Slovak philosophical term,Q5891,philosophy
Q12772852,Obruba,Slovak philosophical term,Q5891,philosophy
Q12772852,Obruba,Slovak philosophical term,Q735,art
Q12774390,praxis,philosophical term,Q5891,philosophy
Q12774680,Promot,Term in computer science,Q21198,computer science
Q12774940,Pátos,psychological state,Q5891,philosophy
Q12774940,Pátos,psychological state,Q9418,psychology
Q12775709,SA-CMM,model,Q638608,software development
Q12776184,walk,"sequence of edges connecting a sequence of vertices in a graph, possibly with repeated vertices and/or edges",Q131476,graph theory
Q12776523,spin,form of propaganda in public relations,Q133080,public relations
Q67489935,Takayuki Miyazawa,Japanese veterinarian (1964-),Q170201,veterinary medicine
Q67498911,organizational change,culture change within or across organizations,Q2029930,organizational studies
Q67613916,Syntheses of Aryl Aryloxyacetates and Phenyl Aryloxythioacetates Using Liquid-Liquid Phase Transfer Catalysis,article published in 1988,Q2329,chemistry
Q67951467,dichromacy,type of color vision,Q105582462,biology of colour
Q349,sport,"forms of recreational activity, usually physical",Q1298380,sports science
Q12776727,Stihomam,"Slovak word for feelings of persecution, distrust, attachment and the creation of ideas that do not correspond to reality",Q9418,psychology
Q12777629,topika,philosophical term,Q5891,philosophy
Q12777906,creator,any subject of creation (both in reality and in myth),Q5891,philosophy
Q12778483,Vidria,Technical term for a part of the brain,Q188449,neurosurgery
Q12781055,Ádi,philosophical term,Q5891,philosophy
Q12781066,Éma,philosophical term,Q5891,philosophy
Q12781078,Údolie,Slovak term of geomorphology,Q52109,geomorphology
Q12793650,Kian,"a Persian word that means ""monarch"" or ""king"" and an Arabic word that means ""soul""",Q5891,philosophy
Q12794158,Kot 2V,Slovenian term in mineralogy,Q83353,mineralogy
Q12797896,frame,general term for something that forms a connection for an abstract or concrete object,Q11680831,communication studies
Q12797896,frame,general term for something that forms a connection for an abstract or concrete object,Q5891,philosophy
Q12806104,Volilo,Slovenian term for a type of bequest,Q4932206,jurisprudence
Q12809572,firar,Turkish term for a criminal offense,Q4932206,jurisprudence
Q12817295,Adam,concept of nonexistence in Middle Eastern philosophy,Q5891,philosophy
Q12817347,Advor,Genre and part of the music theory of the Near and Middle East,Q193544,music theory
Q12817530,Ajnos,Terminus in Eastern Music Theory,Q193544,music theory
Q12818893,Avj,Term in Uzbek composition art,Q207628,composed musical work
Q12819018,Aybona,Term from the Sharia,Q482752,sharia
Q12820499,brood,Device to keep hatched chickens warm in the early days,Q227675,animal breeding
Q12820683,Burov,Uzbek name for a device for horses,Q1157006,hippology
Q12820683,Burov,Uzbek name for a device for horses,Q80962,animal husbandry
Q12821085,Dastband,Terminus in Uzbek music,Q164204,musicology
Q12823745,Ixtikor,Islamic Uzbek term,Q482752,sharia
Q12823774,Isochore,term in thermodynamics,Q11473,thermodynamics
Q12824187,Juzv,Uzbek term for an aspect in the Arabic alphabet,Q3621186,Arabic studies
Q12824213,cust and freight,Term in foreign trade,Q178803,international trade
Q12824984,coking,process resulting in deposition of carbon-rich solids,Q83588,chemical engineering
Q12825499,crisis,sudden deterioration in the patient's condition,Q11190,medicine
Q515,city,large human settlement,Q23578769,urban studies
Q515,city,large human settlement,Q1569011,urban history
Q523,star,astronomical object consisting of a luminous spheroid of plasma held together by its own gravity,Q333,astronomy
Q12826853,Matal,Uzbek term of literature,Q208217,literary studies
Q12827256,myth,type of traditional narrative,Q580854,mythography
Q12827531,modus,general concept of philosophy,Q5891,philosophy
Q12827546,Mohur,Central Asian music term,Q638,music
Q12827956,Murtak,Uzbek term in botany,Q441,botany
Q12828329,Nastia,botanical term,Q441,botany
Q12828410,Naʼt,Part of classical Arabic literature,Q194380,Arabic literature
Q12829978,Peshrav,oriental melody structure,Q164204,musicology
Q12831278,Tajziya,Uzbek poetry term,Q482,poetry
Q12831605,Vasla,phonetic phenomenon in classical poetry,Q482,poetry
Q12831959,Voish,Method for growing grapes,Q253140,viticulture
Q12832653,Zot,Uzbek term from cattle breeding,Q227675,animal breeding
Q12835922,agrosphere,global system that reflects the totality of all land areas,Q1071,geography
Q12838762,node,Mechanical engineering term,Q101333,mechanical engineering
Q12839511,Firidun Ağasıoğlu Cəlilov,Azerbaijani Turcologist,Q40634,philology
Q12840878,Keql,Term for the font size,Q21198,computer science
Q12859380,plate boundary,type of tectonic plate,Q52109,geomorphology
Q308,Mercury,smallest and closest planet to the sun in the Solar System,Q131627345,hermeology
Q309,history,past events and their tracks or records,Q1066186,study of history
Q309,history,past events and their tracks or records,Q80083,humanities
Q309,history,past events and their tracks or records,Q50675,historiography
Q432,Islam,Abrahamic religion founded by Muhammad,Q843909,Islamic studies
Q454,peace,state of harmony characterized by lack of violent conflict and freedom from fear of violence,Q15141361,irenology
Q634,planet,celestial body directly orbiting a star or stellar remnant,Q333,astronomy
Q638,music,art/activity of creating art using sound,Q193544,music theory
Q638,music,art/activity of creating art using sound,Q164204,musicology
Q729,animal,kingdom of multicellular eukaryotic organisms,Q431,zoology
Q729,animal,kingdom of multicellular eukaryotic organisms,Q420,biology
Q729,animal,kingdom of multicellular eukaryotic organisms,Q170201,veterinary medicine
